timestep Temp E_pair E_mol TotEng Press
1715000 302.15275 -16949.476 2256.5618 -9739.2843 6.8517743
1720000 303.07687 -17040.765 2276.5382 -9795.4467 2.0081927
1725000 303.00314 -16926.243 2276.9398 -9681.7317 -2.0402329
1730000 295.03489 -16914.5 2228.9264 -9848.6368 2.7781658
1735000 297.33424 -16762.236 2290.3436 -9597.2592 2.4096832
1740000 303.34025 -16788.56 2173.155 -9642.3067 -1.7415302
1745000 301.12679 -16955.736 2249.3782 -9769.548 -2.5023196
1750000 298.1678 -16961.124 2252.8512 -9819.9746 1.0364236
1755000 302.53771 -17007.812 2223.3851 -9824.4862 2.6482078
1760000 296.89651 -16981.785 2233.5024 -9880.8264 0.85867075
1765000 294.82497 -16873.086 2239.949 -9799.6421 1.3566732
1770000 301.69977 -16940.063 2239.3325 -9754.5276 -3.4596258
1775000 303.9355 -16887.903 2287.4158 -9617.63 -2.0910325
1780000 295.33151 -16862.642 2213.2312 -9807.6115 -5.9356594
1785000 302.7745 -16952.768 2285.9015 -9703.0434 -0.097313949
1790000 299.8406 -16750.069 2302.6213 -9531.7241 2.1185362
1795000 295.34002 -16925.902 2238.8435 -9845.1195 -2.50875
1800000 299.81478 -16846.596 2226.6202 -9704.6756 -4.7619206
1805000 291.10833 -16938.448 2297.2238 -9868.6617 -1.0395211
1810000 302.00809 -16888.962 2238.0105 -9699.693 3.6974939
1815000 298.35293 -16910.232 2270.0767 -9748.8214 0.24877453
1820000 297.53291 -17088.166 2252.2911 -9957.9845 0.86892951
1825000 298.77843 -17011.999 2281.9416 -9831.7481 -2.1019933
1830000 296.91555 -16956.815 2346.6573 -9742.3891 -0.72913405
1835000 298.43439 -16981.905 2220.9775 -9868.2582 0.92840104
1840000 293.47321 -16939.74 2261.6973 -9866.7091 -0.91217319
1845000 302.82015 -16971.819 2233.872 -9773.3754 -2.7256766
1850000 295.61627 -16985.522 2252.5768 -9886.4775 4.1189348
1855000 299.8663 -16866.166 2276.2589 -9673.7622 -1.8104482
1860000 302.03009 -17017.262 2325.1338 -9740.509 -2.1446636
1865000 301.01998 -16920.255 2295.8212 -9689.3755 2.263601
1870000 296.38647 -16835.606 2218.6067 -9757.9047 1.5847706
1875000 301.78145 -16939.615 2229.0024 -9763.0696 2.8696679
1880000 303.80096 -16888.503 2258.5074 -9649.3441 -0.66974657
1885000 298.94062 -16935.869 2325.3584 -9709.5422 -0.27162035
1890000 303.54183 -16925.405 2251.9485 -9697.0532 2.6843414
1895000 303.16285 -16863.64 2228.6678 -9664.7828 -2.200264
1900000 300.46151 -16918.965 2265.1327 -9727.9298 3.1874535
