timestep Temp E_pair E_mol TotEng Press
1165000 305.93556 -11173.019 1193.0318 -7244.1795 22.073237
1170000 296.41222 -11147.672 1256.0559 -7240.971 14.206807
1175000 294.50836 -11145.698 1277.8078 -7234.2693 4.7947918
1180000 298.77682 -11131.81 1235.3355 -7224.684 -26.053812
1185000 297.61927 -11053.894 1208.4167 -7184.0381 -6.9092432
1190000 303.32066 -11190.938 1208.8978 -7269.6169 33.055453
1195000 305.70757 -11150.751 1210.0808 -7206.9021 8.4438088
1200000 307.36294 -11090.925 1207.0459 -7135.3078 -14.593003
1205000 299.26806 -11011.954 1251.3029 -7084.4675 10.275438
1210000 292.7429 -11109.763 1211.998 -7279.932 -22.256634
1215000 300.58266 -11063.857 1235.8526 -7140.065 -0.34492027
1220000 306.08288 -11109.27 1232.5637 -7139.5817 3.7723814
1225000 313.8097 -11057.285 1236.1406 -7014.9231 -8.5798806
1230000 297.90279 -11153.443 1199.954 -7289.5142 9.1331066
1235000 300.94562 -11224.627 1251.0196 -7282.4227 0.276725
1240000 312.74756 -11186.3 1223.9399 -7165.637 -2.0425136
1245000 292.55618 -11135.508 1197.092 -7322.2524 7.6335222
1250000 297.99239 -11102.658 1212.4549 -7225.4267 1.3081779
1255000 301.09696 -10960.478 1244.3531 -7023.5862 14.146971
1260000 294.71823 -10970.505 1193.3989 -7141.6089 1.1164912
1265000 291.52023 -11133.083 1248.7907 -7277.3928 7.3672516
1270000 299.77873 -10993.39 1224.8785 -7087.7615 -7.5587248
1275000 302.94881 -11015.546 1216.602 -7089.845 -37.34944
1280000 299.27664 -11002.46 1273.3627 -7052.837 -2.6714411
1285000 303.662 -11113.331 1182.5831 -7215.2716 9.9672059
1290000 308.7946 -11024.889 1239.3175 -7024.1975 -35.612331
1295000 303.16738 -11066.628 1216.0526 -7139.522 -5.7896427
1300000 306.47708 -10991.908 1156.928 -7094.3298 -16.265429
1305000 302.24687 -10988.628 1211.8385 -7073.9675 -31.330585
1310000 300.29545 -11047.425 1225.4487 -7136.605 20.948986
1315000 303.03423 -11084.051 1206.3655 -7167.8228 4.9796691
1320000 302.16905 -11087.753 1180.2405 -7205.387 -2.9917377
1325000 301.32003 -11070.766 1211.8505 -7164.3817 -5.4539524
1330000 296.36755 -11069.121 1236.9246 -7181.95 33.228845
1335000 303.88271 -11079.854 1218.4868 -7143.9175 5.4195715
1340000 300.74898 -11153.246 1251.5226 -7212.2966 -5.8597001
1345000 292.22609 -11127.035 1220.4276 -7293.3959 -11.310501
1350000 297.11339 -11125.826 1214.7147 -7254.196 6.1895656
1355000 301.96967 -11079.976 1278.4622 -7101.1713 9.665691
1360000 299.44441 -11055.361 1241.9666 -7135.6334 -2.2520449
1365000 306.78434 -11183.686 1263.9589 -7176.3291 -17.258081
1370000 296.50738 -11103.664 1210.9577 -7241.2095 -19.628905
1375000 306.53934 -11120.765 1211.8335 -7167.7244 -3.8573562
1380000 297.67221 -11019.289 1192.7548 -7164.6214 -1.3757177
1385000 295.86083 -11149.314 1191.6206 -7311.9791 10.940633
1390000 298.7162 -11121.708 1310.5407 -7139.9182 -3.3782939
1395000 299.98336 -11067.011 1255.9468 -7128.484 -0.4471182
1400000 298.00146 -11157.572 1228.1269 -7264.5879 -7.9587082
1405000 291.56686 -11073.784 1201.724 -7264.744 -3.4919588
1410000 299.70078 -11091.847 1213.9067 -7197.8872 -12.799643
1415000 301.45622 -11151.735 1197.8598 -7258.1241 11.94301
1420000 299.09161 -11133.953 1231.5021 -7227.8448 -16.824693
1425000 302.85715 -11034.663 1213.9348 -7112.4491 -18.628597
1430000 300.89432 -11061.413 1207.1834 -7163.5033 -18.207422
1435000 297.51832 -11155.97 1225.1292 -7270.3035 -11.175657
1440000 298.42257 -11107.3 1200.345 -7238.3315 -0.028201599
1445000 289.25625 -11095.444 1225.8355 -7282.9543 -6.0962743
1450000 300.91697 -11086.403 1223.0298 -7172.4446 6.7858147
1455000 299.52551 -11118.184 1247.7488 -7191.9491 -0.32193215
1460000 304.48755 -11039.445 1236.6389 -7079.9475 12.421311
1465000 299.75176 -11205.534 1209.628 -7315.3968 -15.494421
1470000 298.60438 -11106.73 1194.7218 -7241.7592 -7.7385805
1475000 299.60584 -11162.766 1185.7901 -7297.7714 15.177153
1480000 311.26548 -11097.173 1230.0557 -7083.648 3.2801862
1485000 299.40158 -11098.126 1278.9544 -7141.7935 11.153333
1490000 305.67152 -11199.762 1236.9592 -7229.3565 -27.390945
1495000 304.23679 -11108.721 1241.4609 -7146.6435 -0.84096073
1500000 307.66423 -11129.887 1197.4157 -7181.2052 -9.4829254
1505000 289.41108 -11130.794 1230.8644 -7311.8908 26.507868
1510000 297.32134 -11092.99 1203.7535 -7230.4615 7.6895497
1515000 302.52547 -11085.485 1271.7454 -7108.4265 -18.000883
1520000 298.91838 -11077.663 1220.0865 -7184.5198 -9.9153229
1525000 300.76954 -11039.947 1248.6308 -7101.7056 -4.5266675
1530000 300.39192 -11130.307 1217.9858 -7226.0875 -7.6893366
1535000 298.49184 -11192.944 1248.6833 -7275.0184 11.432485
1540000 299.40887 -11108.855 1216.9376 -7214.4747 17.601282
1545000 302.58302 -11045.155 1245.4952 -7093.8321 8.8298733
1550000 292.21383 -11072.321 1270.3719 -7188.8469 13.598153
1555000 301.86567 -11109.315 1192.5169 -7217.3852 -0.85820728
1560000 303.05079 -10967.064 1248.9022 -7008.151 -7.7153126
1565000 309.81718 -10928.063 1242.7184 -6914.826 -14.362871
1570000 297.16024 -11015.865 1250.6516 -7107.8789 -11.172974
1575000 298.70259 -11060.883 1240.2971 -7149.4585 -1.8460899
1580000 297.18234 -11047.943 1245.8211 -7144.5897 -10.294304
1585000 303.60595 -11103.825 1231.5884 -7157.2612 -7.2844538
1590000 308.4297 -11000.359 1246.4511 -6995.7963 -10.583994
1595000 301.7351 -11118.867 1230.2811 -7190.341 -11.722629
1600000 306.80565 -11057.889 1229.512 -7084.789 7.1800539
1605000 304.21451 -11107.167 1226.5552 -7160.1953 2.462413
1610000 295.44079 -11126.689 1183.0317 -7301.6987 5.0512703
1615000 291.18611 -11102.217 1195.8868 -7302.4189 5.9150344
1620000 295.86157 -11036.792 1214.8107 -7176.2595 1.0534593
1625000 294.72917 -11176.852 1248.5839 -7292.6732 -15.301744
1630000 291.99151 -11190.097 1217.779 -7361.2043 -0.92825891
1635000 296.49968 -11086.769 1235.4348 -7199.9069 -1.5035069
1640000 294.27853 -11056.187 1228.1698 -7196.4525 -7.8432338
1645000 301.35608 -11064.315 1155.128 -7214.3308 2.9592378
1650000 304.66995 -11044.01 1195.4407 -7124.0795 1.0721889
1655000 299.41426 -11063.003 1195.8637 -7189.648 -8.8371339
1660000 299.62753 -11073.331 1258.8314 -7135.1008 14.095292
1665000 310.48301 -11093.202 1231.2915 -7085.4378 -5.0986715
1670000 308.42036 -11066.808 1217.3186 -7091.4618 -27.789808
